SPECIES;SUH2;SUG1;SUH4;SUG3;SUG4;SVH2;SVG1;SVG2;SVF1;SVJ3;SVJ4;SVH3;SVH4;SVG3;SVG4;SWJ2;SWH1;SWH2;SWG1;SWG2;SWF1;SWJ4;SWH3;SWH4;SWG3;SWG4;SWF3;SXH1;SXH2;SXG1;SXG2;SXH3;SXH4;SXG3
European golden plover;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European goldifnch;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
European starling;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
European stonechat;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0
Ferruginous duck;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gadwall;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Garganey;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0
Glossy ibis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gray heron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gray plover;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Graylag goose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Great cormorant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
